number,final_state,milestone,labels_current,action,category,labels_target,note,related_docs,eisenhower,title
121,CLOSED,,javascript,(未改动),历史已关闭,,triage前已关闭,,,CORS跨域
122,CLOSED,,"documentation,note,四笔钱",(未改动),历史已关闭,,triage前已关闭,,,“四笔钱”和风险等级问题
208,CLOSED,,"功能,low-priority",CLOSE(低价值/笔记),低价值/个人笔记,triage-done,评论系统引擎调研，非核心,,,评论系统比较及选择
211,CLOSED,,"dev-DVT,beauty",CLOSE(低价值/笔记),低价值/个人笔记,triage-done,数据可视化笔记,,,【数据可视化】pandas，matplotlib，numpy使用教程（美化）
223,CLOSED,,"bug,dependencies",(未改动),历史已关闭,,triage前已关闭,,,`@deprecated` do not works with typing
229,OPEN,,data,REOPEN(复核更正),部分实现/基础数据缺口,triage-done,基金经理个人情况未落盘：fund_manager_job未进execution_plan、仅写mgr_code+name、tech-debt.md:33自认未同步；净值已落盘,docs/spec/tech-debt.md:33; backend/app/services/sync/jobs/fund_manager_job.py,重要不紧急,基本数据抓取及组织
230,CLOSED,,"data,组合",KEEP(已实现-验证通过),已实现/已落地,triage-done,代码+文档实证完全实现（双适配器整合框架跑通并落盘）,,,数据信息来源（整合到项目中）
231,CLOSED,,"bug,invalid,dev-stack,migrate",(未改动),历史已关闭,,triage前已关闭,,,`No changes in schema detected.`数据model修改之后执行`flask db migrate`没有反应，探测不到代码修改
233,CLOSED,,"documentation,unit-test",CLOSE(低价值/笔记),低价值/个人笔记,triage-done,单测资料笔记,,,单元测试，需要对搜集的资料整理然后写出示例
237,CLOSED,,产品,CLOSE(低价值/笔记),低价值/个人笔记,triage-done,竞品搜集笔记,,,同类产品搜集
249,CLOSED,,"data,TODO",(未改动),历史已关闭,,triage前已关闭,,,data目录下面的数据爬取应该保存到绝对目录并使用gitignore忽略不上传到仓库
253,OPEN,,data,KEEP(open),未实现/功能,triage-done,基金评分，需新建表,(待设计：基金评分新表),重要不紧急,基金评分，可能需要创建新表
258,CLOSED,,"bug,documentation,migrate",(未改动),历史已关闭,,triage前已关闭,,,`declarative_base`是什么？
259,CLOSED,,"bug,documentation,migrate",(未改动),历史已关闭,,triage前已关闭,,,自定义类型`ChoiceType`无法使用，在使用`flask_migrate`生成迁移脚本时会报错，此外choices关键字参数无法被传递
262,CLOSED,,,(未改动),历史已关闭,,triage前已关闭,,,Typing: 在低版本Python中类型注解返回本身会报错class未定义
270,CLOSED,,low-priority,(未改动),历史已关闭,,triage前已关闭,,,对数据model中的`__repr__`进行统一定义
271,CLOSED,,"note,data",CLOSE(低价值/笔记),低价值/个人笔记,triage-done,已自我否定,,,json数据可以使用jsonpath 库进行解析，类似于xpath之于XML
273,OPEN,,"javascript,功能,TODO",KEEP(open),未实现/功能,triage-done,自选基金拖拽排序,frontend/src/views/asset/watchlist/index.vue,不重要不紧急,自选基金实现拖拽排序，类似github首页的仓库展示功能
275,OPEN,base-data:基础数据,"enhancement,data,TODO",KEEP(open),未实现/数据,triage-done,对比基准增加股票型基金指数,docs/spec（base-data里程碑）,重要不紧急,对比基准增加普通股票型基金指数（885000.WI
297,CLOSED,,"documentation,note,TODO",CLOSE(低价值/笔记),低价值/个人笔记,triage-done,已被VitePress取代,,,为项目编写开发教程文档
355,CLOSED,,"note,功能",(未改动),历史已关闭,,triage前已关闭,,,note：为基金根据购买日期分组以节省赎回手续费
376,CLOSED,,yarn,(未改动),历史已关闭,,triage前已关闭,,,前端安装依赖报错
388,CLOSED,,python,(未改动),历史已关闭,,triage前已关闭,,,去除对flask-login扩展的依赖
394,CLOSED,,install,(未改动),历史已关闭,,triage前已关闭,,,报错`selenium.common.exceptions.WebDriverException: Message: 'chromedriver' executable needs to be in PATH.`兼selenium安装chromedriver驱动流程
399,CLOSED,,"unit-test,工具",(未改动),历史已关闭,,triage前已关闭,,,一个API测试工具Apifox `Apifox = Postman + Swagger + Mock + JMeter`
402,CLOSED,,"documentation,dev-stack",(未改动),历史已关闭,,triage前已关闭,,,对于没有外键关联的信息，`Schema`应该如何处理？
